PERMNO,date,TICKER,COMNAM,PRC,VOL
14702,05/04/2016,AMAT,APPLIED MATERIALS INC,19.85000,12115180
14702,05/05/2016,AMAT,APPLIED MATERIALS INC,19.85000,9268190
14702,05/06/2016,AMAT,APPLIED MATERIALS INC,19.87000,7069070
14702,05/09/2016,AMAT,APPLIED MATERIALS INC,19.89000,5616437
14702,05/10/2016,AMAT,APPLIED MATERIALS INC,19.98000,11661722
14702,05/11/2016,AMAT,APPLIED MATERIALS INC,20.01000,20502448
14702,05/12/2016,AMAT,APPLIED MATERIALS INC,19.63000,11787895
14702,05/13/2016,AMAT,APPLIED MATERIALS INC,19.61000,10177818
14702,05/16/2016,AMAT,APPLIED MATERIALS INC,19.85000,7795882
14702,05/17/2016,AMAT,APPLIED MATERIALS INC,19.64000,7844915
14702,05/18/2016,AMAT,APPLIED MATERIALS INC,19.92000,10024955
14702,05/19/2016,AMAT,APPLIED MATERIALS INC,19.91000,14193312
14702,05/20/2016,AMAT,APPLIED MATERIALS INC,22.66000,53384957
14702,05/23/2016,AMAT,APPLIED MATERIALS INC,22.90000,24854316
14702,05/24/2016,AMAT,APPLIED MATERIALS INC,23.49000,19040312
14702,05/25/2016,AMAT,APPLIED MATERIALS INC,23.66000,14755355
14702,05/26/2016,AMAT,APPLIED MATERIALS INC,23.73000,12330459
14702,05/27/2016,AMAT,APPLIED MATERIALS INC,24.44000,18555575
14702,05/31/2016,AMAT,APPLIED MATERIALS INC,24.42000,18811938
14702,06/01/2016,AMAT,APPLIED MATERIALS INC,24.38000,10480952
14702,06/02/2016,AMAT,APPLIED MATERIALS INC,24.52000,18034782
14702,06/03/2016,AMAT,APPLIED MATERIALS INC,24.39000,16194520
14702,06/06/2016,AMAT,APPLIED MATERIALS INC,24.17000,13550487
14702,06/07/2016,AMAT,APPLIED MATERIALS INC,24.17000,10480932
14702,06/08/2016,AMAT,APPLIED MATERIALS INC,24.23000,8014917
14702,06/09/2016,AMAT,APPLIED MATERIALS INC,24.42000,11920923
14702,06/10/2016,AMAT,APPLIED MATERIALS INC,24.07000,12630169
14702,06/13/2016,AMAT,APPLIED MATERIALS INC,23.94000,11253046
14702,06/14/2016,AMAT,APPLIED MATERIALS INC,23.74000,14615279
14702,06/15/2016,AMAT,APPLIED MATERIALS INC,23.70000,13912714
14702,06/16/2016,AMAT,APPLIED MATERIALS INC,23.69000,12827761
14702,06/17/2016,AMAT,APPLIED MATERIALS INC,23.43000,22138510
14702,06/20/2016,AMAT,APPLIED MATERIALS INC,23.63000,13020721
14702,06/21/2016,AMAT,APPLIED MATERIALS INC,23.83000,7720110
14702,06/22/2016,AMAT,APPLIED MATERIALS INC,23.97000,11725756
14702,06/23/2016,AMAT,APPLIED MATERIALS INC,24.52000,10943091
14702,06/24/2016,AMAT,APPLIED MATERIALS INC,23.23000,35722847
14702,06/27/2016,AMAT,APPLIED MATERIALS INC,22.29000,20469315
14702,06/28/2016,AMAT,APPLIED MATERIALS INC,22.94000,13573757
14702,06/29/2016,AMAT,APPLIED MATERIALS INC,23.56000,13315337
14702,06/30/2016,AMAT,APPLIED MATERIALS INC,23.97000,10256713
21020,03/01/2016,AAL,AMERICAN AIRLINES GROUP INC,41.83000,7893196
21020,03/02/2016,AAL,AMERICAN AIRLINES GROUP INC,41.59000,7913743
21020,03/03/2016,AAL,AMERICAN AIRLINES GROUP INC,41.88000,8812844
21020,03/04/2016,AAL,AMERICAN AIRLINES GROUP INC,41.63000,9485386
21020,03/07/2016,AAL,AMERICAN AIRLINES GROUP INC,42.13000,6961033
21020,03/08/2016,AAL,AMERICAN AIRLINES GROUP INC,40.77000,8418307
21020,03/09/2016,AAL,AMERICAN AIRLINES GROUP INC,41.65000,8546320
21020,03/10/2016,AAL,AMERICAN AIRLINES GROUP INC,41.63000,5814184
21020,03/11/2016,AAL,AMERICAN AIRLINES GROUP INC,42.47000,5701487
21020,03/14/2016,AAL,AMERICAN AIRLINES GROUP INC,42.59000,4567995
21020,03/15/2016,AAL,AMERICAN AIRLINES GROUP INC,42.11000,4445364
21020,03/16/2016,AAL,AMERICAN AIRLINES GROUP INC,42.31000,4792939
21020,03/17/2016,AAL,AMERICAN AIRLINES GROUP INC,42.10000,5960628
21020,03/18/2016,AAL,AMERICAN AIRLINES GROUP INC,43.44000,13745965
21020,03/21/2016,AAL,AMERICAN AIRLINES GROUP INC,43.47000,4756375
21020,03/22/2016,AAL,AMERICAN AIRLINES GROUP INC,42.76000,6721590
21020,03/23/2016,AAL,AMERICAN AIRLINES GROUP INC,41.92000,9583382
21020,03/24/2016,AAL,AMERICAN AIRLINES GROUP INC,40.50000,12515149
21020,03/28/2016,AAL,AMERICAN AIRLINES GROUP INC,40.91000,6402846
21020,03/29/2016,AAL,AMERICAN AIRLINES GROUP INC,41.35000,6794023
21020,03/30/2016,AAL,AMERICAN AIRLINES GROUP INC,41.38000,6076819
21020,03/31/2016,AAL,AMERICAN AIRLINES GROUP INC,41.01000,8138009
21020,04/01/2016,AAL,AMERICAN AIRLINES GROUP INC,39.52000,11244208
21020,04/04/2016,AAL,AMERICAN AIRLINES GROUP INC,39.37000,7831606
21020,04/05/2016,AAL,AMERICAN AIRLINES GROUP INC,38.93000,7648428
21020,04/06/2016,AAL,AMERICAN AIRLINES GROUP INC,38.90000,5649968
21020,04/07/2016,AAL,AMERICAN AIRLINES GROUP INC,38.36000,8206668
21020,04/08/2016,AAL,AMERICAN AIRLINES GROUP INC,38.50000,6087408
21020,04/11/2016,AAL,AMERICAN AIRLINES GROUP INC,38.73000,7932341
21020,04/12/2016,AAL,AMERICAN AIRLINES GROUP INC,39.19000,6426030
21020,04/13/2016,AAL,AMERICAN AIRLINES GROUP INC,39.94000,12493627
21020,04/14/2016,AAL,AMERICAN AIRLINES GROUP INC,41.17000,10133381
21020,04/15/2016,AAL,AMERICAN AIRLINES GROUP INC,40.91000,6982204
21020,04/18/2016,AAL,AMERICAN AIRLINES GROUP INC,40.92000,5245673
21020,04/19/2016,AAL,AMERICAN AIRLINES GROUP INC,41.34000,6650663
21020,04/20/2016,AAL,AMERICAN AIRLINES GROUP INC,41.26000,5018209
21020,04/21/2016,AAL,AMERICAN AIRLINES GROUP INC,40.01000,10782629
21020,04/22/2016,AAL,AMERICAN AIRLINES GROUP INC,38.21000,20939508
21020,04/25/2016,AAL,AMERICAN AIRLINES GROUP INC,37.00000,12670142
21020,04/26/2016,AAL,AMERICAN AIRLINES GROUP INC,36.92000,14710270
21020,04/27/2016,AAL,AMERICAN AIRLINES GROUP INC,36.71000,12305033
21020,04/28/2016,AAL,AMERICAN AIRLINES GROUP INC,35.97000,9836832
21020,04/29/2016,AAL,AMERICAN AIRLINES GROUP INC,34.69000,17807211
21020,05/02/2016,AAL,AMERICAN AIRLINES GROUP INC,34.43000,8829819
21020,05/03/2016,AAL,AMERICAN AIRLINES GROUP INC,34.58000,10674224
21020,05/04/2016,AAL,AMERICAN AIRLINES GROUP INC,33.21000,13412432
21020,05/05/2016,AAL,AMERICAN AIRLINES GROUP INC,32.80500,11606138
21020,05/06/2016,AAL,AMERICAN AIRLINES GROUP INC,33.03000,12749112
21020,05/09/2016,AAL,AMERICAN AIRLINES GROUP INC,32.94000,9312525
21020,05/10/2016,AAL,AMERICAN AIRLINES GROUP INC,33.77000,8124367
21020,05/11/2016,AAL,AMERICAN AIRLINES GROUP INC,32.86000,8148588
21020,05/12/2016,AAL,AMERICAN AIRLINES GROUP INC,31.33000,14228217
21020,05/13/2016,AAL,AMERICAN AIRLINES GROUP INC,31.51000,10132516
21020,05/16/2016,AAL,AMERICAN AIRLINES GROUP INC,32.12000,12397759
21020,05/17/2016,AAL,AMERICAN AIRLINES GROUP INC,32.64000,13303448
21020,05/18/2016,AAL,AMERICAN AIRLINES GROUP INC,32.61000,9136275
21020,05/19/2016,AAL,AMERICAN AIRLINES GROUP INC,32.15000,8875353
21020,05/20/2016,AAL,AMERICAN AIRLINES GROUP INC,32.01000,7277953
21020,05/23/2016,AAL,AMERICAN AIRLINES GROUP INC,31.73000,6498413
21020,05/24/2016,AAL,AMERICAN AIRLINES GROUP INC,32.15000,6962729
21020,05/25/2016,AAL,AMERICAN AIRLINES GROUP INC,32.17000,7403238
21020,05/26/2016,AAL,AMERICAN AIRLINES GROUP INC,31.51000,7222797
21020,05/27/2016,AAL,AMERICAN AIRLINES GROUP INC,31.65000,8573689
21020,05/31/2016,AAL,AMERICAN AIRLINES GROUP INC,31.91000,9621047
21020,06/01/2016,AAL,AMERICAN AIRLINES GROUP INC,31.95000,6416247
21020,06/02/2016,AAL,AMERICAN AIRLINES GROUP INC,31.67000,6813295
21020,06/03/2016,AAL,AMERICAN AIRLINES GROUP INC,30.81000,12424133
21020,06/06/2016,AAL,AMERICAN AIRLINES GROUP INC,31.26000,8335439
21020,06/07/2016,AAL,AMERICAN AIRLINES GROUP INC,32.36000,12424206
21020,06/08/2016,AAL,AMERICAN AIRLINES GROUP INC,32.51000,8173130
21020,06/09/2016,AAL,AMERICAN AIRLINES GROUP INC,33.40000,8188322
21020,06/10/2016,AAL,AMERICAN AIRLINES GROUP INC,33.14000,8252308
21020,06/13/2016,AAL,AMERICAN AIRLINES GROUP INC,31.80000,9225556
21020,06/14/2016,AAL,AMERICAN AIRLINES GROUP INC,30.36000,13823001
21020,06/15/2016,AAL,AMERICAN AIRLINES GROUP INC,30.49000,8152256
21020,06/16/2016,AAL,AMERICAN AIRLINES GROUP INC,29.14000,18236714
21020,06/17/2016,AAL,AMERICAN AIRLINES GROUP INC,29.34000,15301910
21020,06/20/2016,AAL,AMERICAN AIRLINES GROUP INC,29.71000,8359297
21020,06/21/2016,AAL,AMERICAN AIRLINES GROUP INC,30.02000,8922947
21020,06/22/2016,AAL,AMERICAN AIRLINES GROUP INC,29.89000,6718416
21020,06/23/2016,AAL,AMERICAN AIRLINES GROUP INC,30.33000,9139949
21020,06/24/2016,AAL,AMERICAN AIRLINES GROUP INC,27.05000,36051520
21020,06/27/2016,AAL,AMERICAN AIRLINES GROUP INC,25.27000,23200527
21020,06/28/2016,AAL,AMERICAN AIRLINES GROUP INC,26.77000,20026097
21020,06/29/2016,AAL,AMERICAN AIRLINES GROUP INC,27.70000,15008769
21020,06/30/2016,AAL,AMERICAN AIRLINES GROUP INC,28.31000,11148266
44644,03/01/2016,ADP,AUTOMATIC DATA PROCESSING INC,86.77000,1580019
44644,03/02/2016,ADP,AUTOMATIC DATA PROCESSING INC,85.65000,2059346
44644,03/03/2016,ADP,AUTOMATIC DATA PROCESSING INC,85.65000,1700511
44644,03/04/2016,ADP,AUTOMATIC DATA PROCESSING INC,86.19000,1582697
44644,03/07/2016,ADP,AUTOMATIC DATA PROCESSING INC,86.09000,1400721
44644,03/08/2016,ADP,AUTOMATIC DATA PROCESSING INC,85.49000,1758109
44644,03/09/2016,ADP,AUTOMATIC DATA PROCESSING INC,85.72000,1636663
44644,03/10/2016,ADP,AUTOMATIC DATA PROCESSING INC,85.20000,1528377
44644,03/11/2016,ADP,AUTOMATIC DATA PROCESSING INC,87.27000,1863537
44644,03/14/2016,ADP,AUTOMATIC DATA PROCESSING INC,87.27000,1311980
44644,03/15/2016,ADP,AUTOMATIC DATA PROCESSING INC,87.32000,1195064
44644,03/16/2016,ADP,AUTOMATIC DATA PROCESSING INC,87.66000,1087995
44644,03/17/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.84000,1482159
44644,03/18/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.64000,3207912
44644,03/21/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.01000,1575212
44644,03/22/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.64000,1280496
44644,03/23/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.53000,1189072
44644,03/24/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.75000,1035411
44644,03/28/2016,ADP,AUTOMATIC DATA PROCESSING INC,88.30000,1325131
44644,03/29/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.43000,1711455
44644,03/30/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.15000,1506775
44644,03/31/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.71000,1482384
44644,04/01/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.26000,1626486
44644,04/04/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.71000,1179093
44644,04/05/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.75000,1783667
44644,04/06/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.84000,1886283
44644,04/07/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.80000,1655275
44644,04/08/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.33000,1086721
44644,04/11/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.71000,1561594
44644,04/12/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.11000,1503853
44644,04/13/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.24000,1663479
44644,04/14/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.26000,1802528
44644,04/15/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.15000,1751858
44644,04/18/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.70000,1301015
44644,04/19/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.74000,1910955
44644,04/20/2016,ADP,AUTOMATIC DATA PROCESSING INC,90.12000,1898883
44644,04/21/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.35000,1538920
44644,04/22/2016,ADP,AUTOMATIC DATA PROCESSING INC,89.65000,1413760
