gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
1891,1,4/15/2016,ADP,1750766,90.15,451020,7374,,,
1891,1,4/18/2016,ADP,1300963,90.7,451020,7374,,,
1891,1,4/19/2016,ADP,1910955,90.74,451020,7374,,,
1891,1,4/20/2016,ADP,1898883,90.12,451020,7374,,,
1891,1,4/21/2016,ADP,1538342,89.35,451020,7374,,,
1891,1,4/22/2016,ADP,1413760,89.65,451020,7374,,,
1891,1,4/25/2016,ADP,1143191,89.58,451020,7374,,,
1891,1,4/26/2016,ADP,1631551,89.79,451020,7374,,,
1891,1,4/27/2016,ADP,2406460,90.12,451020,7374,,,
1891,1,4/28/2016,ADP,2953665,89.1,451020,7374,,,
1891,1,4/29/2016,ADP,2293003,88.44,451020,7374,,,
1891,1,5/2/2016,ADP,2228290,89.43,451020,7374,,,
1891,1,5/3/2016,ADP,3258693,88.81,451020,7374,,,
1891,1,5/4/2016,ADP,1186522,88.39,451020,7374,,,
1891,1,5/5/2016,ADP,5092706,86.45,451020,7374,,,
1891,1,5/6/2016,ADP,4489637,86.85,451020,7374,,,
1891,1,5/9/2016,ADP,3340876,87.16,451020,7374,,,
1891,1,5/10/2016,ADP,4131779,88.5,451020,7374,,,
1891,1,5/11/2016,ADP,1954758,86.67,451020,7374,,,
1891,1,5/12/2016,ADP,1692622,86.54,451020,7374,,,
1891,1,5/13/2016,ADP,1853857,85.76,451020,7374,,,
1891,1,5/16/2016,ADP,1732414,86.7,451020,7374,,,
1891,1,5/17/2016,ADP,1508553,85.35,451020,7374,,,
1891,1,5/18/2016,ADP,1272520,85.6,451020,7374,,,
1891,1,5/19/2016,ADP,1493913,85.14,451020,7374,,,
1891,1,5/20/2016,ADP,1381976,85.47,451020,7374,,,
1891,1,5/23/2016,ADP,1076031,85.25,451020,7374,,,
1891,1,5/24/2016,ADP,2163954,87.46,451020,7374,,,
1891,1,5/25/2016,ADP,1405051,87.52,451020,7374,,,
1891,1,5/26/2016,ADP,1042476,87.7,451020,7374,,,
1891,1,5/27/2016,ADP,1078085,88.04,451020,7374,,,
1891,1,5/31/2016,ADP,2035260,87.84,451020,7374,,,
1891,1,6/1/2016,ADP,1685761,88.12,451020,7374,,,
1891,1,6/2/2016,ADP,1092520,88.09,451020,7374,,,
1891,1,6/3/2016,ADP,1399913,87.33,451020,7374,,,
1891,1,6/6/2016,ADP,1392782,87.69,451020,7374,,,
1891,1,6/7/2016,ADP,2480886,86.87,451020,7374,,,
1891,1,6/8/2016,ADP,1797344,87.22,451020,7374,,,
1891,1,6/9/2016,ADP,1517709,87.63,451020,7374,,,
1891,1,6/10/2016,ADP,1635720,87.09,451020,7374,,,
1891,1,6/13/2016,ADP,3191446,87.16,451020,7374,,,
1891,1,6/14/2016,ADP,2348292,87.49,451020,7374,,,
1891,1,6/15/2016,ADP,2080455,87.61,451020,7374,,,
1891,1,6/16/2016,ADP,1469419,88.03,451020,7374,,,
1891,1,6/17/2016,ADP,2708721,87.61,451020,7374,,,
1891,1,6/20/2016,ADP,2061740,89.04,451020,7374,,,
1891,1,6/21/2016,ADP,1725600,89.34,451020,7374,,,
1891,1,6/22/2016,ADP,1504393,88.82,451020,7374,,,
1891,1,6/23/2016,ADP,1364084,89.94,451020,7374,,,
1891,1,6/24/2016,ADP,4044480,86.72,451020,7374,,,
1891,1,6/27/2016,ADP,2609431,85.66,451020,7374,,,
1891,1,6/28/2016,ADP,2530895,87.92,451020,7374,,,
1891,1,6/29/2016,ADP,2274340,89.13,451020,7374,,,
1891,1,6/30/2016,ADP,2944786,91.87,451020,7374,,,
3310,1,3/1/2016,CA,2049052,30.07,451030,7372,,,
3310,1,3/2/2016,CA,3078257,29.61,451030,7372,,,
3310,1,3/3/2016,CA,1934790,29.81,451030,7372,,,
3310,1,3/4/2016,CA,1982425,29.56,451030,7372,,,
3310,1,3/7/2016,CA,1800873,29.77,451030,7372,,,
3310,1,3/8/2016,CA,2303776,29.6,451030,7372,,,
3310,1,3/9/2016,CA,3473845,30.07,451030,7372,,,
3310,1,3/10/2016,CA,2637188,29.99,451030,7372,,,
3310,1,3/11/2016,CA,2730045,30.54,451030,7372,,,
3310,1,3/14/2016,CA,2368103,30.32,451030,7372,,,
